acquisition
acquisitions
avoid
avoidance
avoided
avoiding
avoids
buffer
buffered
buffering
buffers
cartel
cartels
coalition
coalitions
compliance
comply
constrain
constrained
constraining
constraint
constraints
context
control
controlled
controlling
controls
cooperate
cooperated
cooperates
cooperating
cooperation
coopt
cooptation
coopted
coopting
coopts
depend
dependence
dependencies
dependency
dependent
diversification
diversified
diversifies
diversify
diversifying
dominance
dominate
dominated
dominates
dominating
domination
effective
effectiveness
exchange
exchanges
exchanging
external
influence
influenced
influences
influencing
influential
interdependence
interdependencies
interdependency
interdependent
interfirm
interlock
interlocks
interorganizational
lobbied
lobbying
lobbyist
lobbyists
manage
managed
management
manager
managers
managing
merge
merged
merger
mergers
merging
network
networked
networking
networks
noncompliance
power
pressure
pressured
pressures
pressuring
reliance
relied
relies
rely
sanction
sanctioned
sanctions
success
symbol
symbolic
symbolism
